seq_name,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,druggable
Positive_77,0.993,0.914,0.874,0.358,0.556,0.635,0.516,0.834,0.119,1.072,2.105,0.755,0.635,0.953,1.033,1.748,1.112,0.238,0.516,1.033,13.643,13.618,13.337,14.791,13.414,14.196,1
Positive_78,1.755,0.948,0.913,0.281,0.386,0.562,0.527,0.632,0.176,0.983,1.51,0.878,0.456,0.737,1.229,1.159,1.369,0.316,0.527,1.475,13.169,14.64,13.866,13.816,13.597,14.094,1
Positive_79,1.613,1.185,0.329,0.658,0.461,0.593,0.428,0.889,0.461,0.428,2.271,0.165,0.362,0.527,1.053,0.889,0.757,0.296,0.362,1.086,14.406,13.621,14.866,13.74,14.969,13.584,1
Positive_80,1.011,0.872,0.628,0.732,0.453,0.976,0.488,1.116,0.523,0.697,1.674,0.907,0.593,0.593,1.22,1.569,0.837,0.07,0.314,0.837,14.048,14.515,14.281,13.226,13.862,13.959,1
Positive_81,1.37,1.019,0.351,0.386,0.316,0.597,0.703,1.124,0.492,0.527,2.565,0.703,0.527,0.457,0.527,0.738,0.773,0.386,0.281,1.159,13.607,14.448,13.69,14.207,14.65,14.395,1
Positive_82,1.326,1.004,0.143,0.681,0.358,0.538,0.788,1.398,0.287,0.323,1.649,0.287,0.036,0.287,1.756,1.434,0.824,0.466,0.358,1.183,14.354,14.066,13.945,13.779,14.596,14.134,1
Positive_83,2.1,1.028,0.447,0.626,0.626,0.358,0.179,0.894,0.134,0.983,1.788,0.536,0.536,0.804,1.117,1.207,0.894,0.268,0.536,1.564,13.766,13.35,13.4,13.608,14.231,15.021,1
Positive_84,1.269,0.992,0.392,0.669,0.185,0.785,0.554,1.338,0.346,0.208,1.592,0.231,0.208,0.669,1.177,0.831,0.6,0.392,0.485,1.246,14.063,14.346,13.773,14.46,14.261,14.927,1
Positive_85,0.944,1.017,0.436,0.726,0.339,0.629,0.775,0.968,0.484,0.532,1.331,0.726,0.387,0.629,1.041,1.283,0.823,0.145,0.387,1.065,14.148,14.368,13.906,14.655,14.068,14.185,1
Positive_86,1.4,0.901,0.555,0.846,0.374,1.081,0.582,0.984,0.43,0.693,1.663,0.651,0.305,0.457,1.067,1.566,0.832,0.208,0.347,0.873,13.412,14.369,13.808,13.713,14.52,14.361,1
Positive_87,1.254,0.816,0.559,0.771,0.302,0.892,0.937,1.39,0.348,0.438,1.98,0.363,0.196,0.529,1.149,1.133,0.559,0.302,0.423,1.36,14.304,13.103,14.217,13.534,14.971,14.17,1
Positive_88,1.36,1.333,0.245,0.354,0.245,0.952,0.544,1.006,0.435,0.272,1.795,0.272,0.19,0.571,1.115,0.843,0.734,0.245,0.299,1.006,14.237,15.08,14.217,13.256,14.59,14.804,1
Positive_89,1.933,0.322,0.838,0.29,0.354,0.676,0.741,1.16,0.322,1.385,2.899,0.58,0.612,1.16,1.289,1.385,1.127,0.483,0.29,1.224,13.635,13.148,13.215,13.682,13.511,13.74,1
Positive_90,1.39,0.407,0.339,0.746,0.61,1.017,0.508,1.288,0.474,0.78,1.525,0.847,0.407,0.746,0.712,1.186,0.644,0.203,0.407,1.356,13.916,14.735,14.259,13.487,14.329,13.682,1
Positive_91,1.087,0.487,1.05,0.75,0.563,0.675,0.675,0.675,0.225,1.275,2.137,1.012,0.563,0.937,0.525,1.987,1.012,0.262,0.525,1.237,12.796,14.076,14.129,13.034,13.9,14.403,1
Positive_92,1.3,0.958,0.73,0.639,0.046,0.889,0.342,0.958,0.114,0.958,1.118,1.209,0.319,0.274,0.502,0.958,0.798,0.023,0.525,1.254,13.976,15.332,14.031,14.219,14.136,14.393,1
Positive_93,1.1,0.836,0.374,0.748,0.418,0.792,0.594,0.836,0.396,0.682,1.474,0.814,0.44,0.726,0.88,1.254,0.682,0.264,0.308,0.946,14.188,14.865,14.159,13.787,14.348,14.086,1
Positive_94,0.904,0.842,0.465,0.653,0.339,0.955,0.779,0.854,0.502,0.515,1.469,0.842,0.364,0.641,0.917,0.98,0.741,0.264,0.465,0.992,14.481,14.141,14.293,13.873,14.17,14.561,1
Positive_95,0.962,0.717,0.815,0.864,0.114,0.962,0.473,0.782,0.31,0.896,1.369,1.059,0.375,0.652,0.522,0.57,0.652,0.196,0.57,0.945,14.474,15.309,14.101,13.825,14.377,14.108,1
Positive_96,1.686,0.632,0.632,0.474,0.474,0.579,0.421,0.632,0.263,1.633,2.16,0.79,0.474,1.001,1.159,0.948,0.527,0.369,0.632,1.686,14.125,13.756,13.721,13.773,13.807,13.644,1
Positive_97,1.313,0.867,0.542,0.569,0.19,1.219,0.447,1.191,0.325,0.447,1.3,1.11,0.244,0.393,1.219,1.625,0.88,0.176,0.406,0.839,13.555,14.824,14.174,14.044,14.006,14.098,1
Positive_98,0.723,0.422,1.205,0.482,0.301,1.084,0.663,0.723,0.301,0.663,1.627,1.024,0.181,0.904,0.964,0.964,0.843,0.482,0.663,1.265,13.695,13.827,13.44,14.988,14.516,14.051,1
Positive_99,0.691,0.772,0.487,0.772,0.366,1.199,0.63,0.813,0.487,0.691,1.463,1.219,0.427,0.772,0.548,0.792,0.548,0.142,0.467,0.691,14.499,14.94,14.381,14.276,14.248,13.682,1
Positive_100,1.068,1.305,0.475,0.475,0.059,1.009,0.534,0.89,0.178,0.475,1.246,1.187,0.237,0.237,0.356,0.653,0.356,0.059,0.475,0.949,15.272,14.288,15.058,13.268,14.496,15.394,1
Positive_101,0.72,0.585,0.45,1.125,0.315,0.81,0.495,0.9,0.405,0.855,1.215,1.26,0.36,0.9,0.99,0.72,0.72,0.18,0.495,0.675,14.337,14.578,13.622,13.948,14.111,15.23,1
Positive_102,1.075,0.969,0.458,0.745,0.394,1.086,0.585,0.926,0.404,0.543,1.49,0.596,0.266,0.468,0.777,1.245,0.681,0.298,0.447,1.054,14.13,14.5,14.13,14.624,14.152,13.956,1
Positive_103,1.122,0.759,0.792,0.726,0.33,1.221,0.693,1.122,0.429,0.825,1.188,0.495,0.561,0.726,0.561,1.023,0.726,0.132,0.429,1.023,14.438,14.795,13.604,13.679,14.304,14.296,1
Positive_104,0.776,0.754,0.643,0.743,0.366,0.931,0.432,0.798,0.333,0.954,1.364,1.12,0.355,0.543,0.676,1.419,1.076,0.177,0.554,0.821,13.805,14.287,14.739,14.435,14.049,13.849,1
Positive_105,1.082,0.656,0.459,0.262,0.229,0.689,0.328,1.246,0.197,1.639,2.033,0.689,0.459,1.115,0.885,1.147,1.016,0.229,0.59,1.475,13.879,14.363,13.788,14.043,14.174,13.328,1
Positive_106,1.575,0.923,0.489,0.652,0.272,0.869,0.272,1.358,0.217,0.76,1.358,0.815,0.489,0.38,0.598,1.249,0.978,0.163,0.109,1.575,13.054,14.186,14.209,14.02,14.926,14.504,1
Positive_107,0.59,0.544,0.998,0.363,0.227,0.408,0.726,0.998,0.181,1.315,1.905,0.544,0.227,1.497,0.771,1.315,0.998,0.454,0.68,1.905,14.191,13.1,14.232,13.458,14.032,14.34,1
Positive_108,0.779,0.916,0.641,0.664,0.32,0.664,0.756,0.801,0.527,0.733,1.236,0.87,0.458,0.664,0.824,1.511,0.939,0.206,0.343,0.985,14.467,14.178,13.851,14.326,13.948,14.393,1
Positive_109,0.693,0.53,1.101,0.653,0.449,0.775,0.653,0.775,0.53,1.265,1.754,1.142,0.367,0.612,0.653,0.938,1.061,0.286,0.367,0.612,13.922,13.549,14.698,13.579,14.477,14.561,1
Positive_110,0.678,0.643,0.776,0.929,0.14,0.999,0.72,0.811,0.482,0.86,1.412,0.887,0.377,0.545,1.055,1.726,0.992,0.307,0.573,0.629,14.167,13.973,13.949,13.895,13.615,14.859,1
Positive_111,0.848,0.848,0.613,0.848,0.188,0.989,0.848,0.895,0.424,0.66,1.508,0.66,0.565,0.33,0.707,0.895,0.613,0.141,0.471,1.649,14.171,13.921,13.627,15.083,14.458,14.039,1
Positive_112,1.099,0.709,0.638,0.496,0.709,0.603,0.426,0.745,0.177,1.206,2.021,1.028,0.355,0.745,0.993,1.17,0.709,0.355,0.496,0.993,14.163,14.202,14.123,14.202,14.029,13.606,1
Positive_113,1.526,1.049,0.334,0.596,0.167,0.906,0.549,1.192,0.238,0.978,1.145,0.477,0.286,0.405,0.668,0.93,0.572,0.095,0.215,1.359,14.463,14.853,13.669,14.394,14.771,14.162,1
Positive_114,1.033,0.854,0.661,0.551,0.331,1.074,0.413,1.308,0.331,0.881,1.611,0.647,0.565,0.661,0.785,1.171,0.923,0.275,0.427,1.184,13.655,14.298,13.992,14.055,13.914,14.4,1
Positive_115,0.897,0.663,0.741,0.468,0.195,0.975,0.468,0.897,0.312,0.897,1.639,1.014,0.156,0.624,0.702,1.131,0.78,0.312,0.663,1.014,14.335,15.069,14.466,13.272,13.905,14.4,1
Positive_116,1.828,0.418,0.575,0.627,0.157,1.045,0.731,1.88,0.104,0.888,1.724,1.097,0.209,0.522,0.679,0.888,0.94,0.0,0.209,1.776,14.072,14.422,13.966,14.063,13.501,13.68,1
Positive_117,0.918,0.679,0.759,0.519,0.2,1.038,0.479,0.878,0.28,0.759,1.757,0.958,0.12,0.559,0.759,1.158,0.839,0.32,0.719,1.158,14.424,14.832,14.335,12.842,14.141,14.572,1
Positive_118,0.943,0.681,0.524,1.048,0.131,1.074,0.55,0.864,0.314,0.76,1.414,1.152,0.262,0.524,0.576,0.76,0.812,0.288,0.576,0.733,14.076,14.887,13.782,14.726,14.272,14.272,1
Positive_119,1.169,0.688,0.585,0.825,0.447,0.516,0.481,0.722,0.447,1.307,1.823,0.825,0.55,0.963,0.55,1.376,0.997,0.172,0.481,1.307,14.22,14.358,13.246,13.384,14.122,14.439,1
Positive_120,1.058,0.598,0.828,0.552,0.46,0.322,0.276,0.552,0.276,1.887,2.117,1.058,0.414,1.288,0.782,1.15,0.92,0.23,0.782,0.966,13.381,13.736,12.869,13.463,14.975,15.057,1
Positive_121,0.865,0.838,0.486,0.919,0.243,1.297,0.568,0.784,0.27,0.757,1.27,1.216,0.351,0.594,0.568,0.784,0.568,0.135,0.405,0.973,14.404,14.834,14.341,14.82,13.431,14.279,1
