seq_name,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,druggable
Positive_12,1.169,1.119,0.383,0.857,0.121,1.109,0.524,1.059,0.242,0.736,1.21,0.655,0.302,0.363,0.635,0.544,0.655,0.101,0.383,1.099,14.68,15.144,14.017,14.036,14.255,14.6,1
Positive_13,1.135,1.135,0.444,0.789,0.099,0.937,0.395,0.592,0.247,0.444,1.233,0.592,0.099,0.789,0.888,0.641,0.592,0.247,0.444,1.283,14.998,14.269,14.992,13.11,15.448,14.158,1
Positive_14,1.361,0.17,0.68,0.51,0.17,0.85,0.51,0.51,0.0,1.531,4.762,0.51,1.361,1.361,1.361,1.02,1.191,0.68,0.51,0.51,14.993,12.176,14.328,12.381,13.692,12.87,1
Positive_15,1.35,0.36,0.63,0.63,0.495,1.125,0.72,1.62,0.36,1.125,1.395,1.125,0.405,0.675,0.675,0.585,0.675,0.09,0.225,1.44,14.175,15.675,13.68,13.146,14.504,13.114,1
Positive_16,0.804,1.286,0.241,0.643,0.161,0.723,0.321,0.804,0.402,0.482,0.563,1.125,0.563,0.723,0.563,0.563,0.723,0.241,0.241,1.206,15.535,15.851,13.759,12.601,14.161,15.715,1
Positive_17,1.546,0.583,0.788,0.613,0.233,0.788,0.613,1.283,0.262,0.904,1.254,0.992,0.554,0.613,0.875,1.021,0.933,0.175,0.321,1.254,13.99,14.263,13.78,13.663,14.693,14.006,1
Positive_18,1.124,1.19,0.198,0.463,0.0,0.925,0.132,0.859,0.397,0.859,1.19,0.661,0.264,0.661,0.793,0.529,0.529,0.198,0.661,0.859,14.66,15.74,14.104,14.204,13.148,15.653,1
Positive_19,1.448,0.66,0.406,0.737,0.203,0.762,0.559,1.143,0.33,0.686,1.194,0.914,0.203,0.711,0.889,1.041,0.686,0.254,0.432,1.041,14.065,15.095,14.43,13.672,14.952,13.486,1
Positive_20,1.162,1.317,0.387,0.93,0.387,1.085,1.394,0.155,0.155,0.697,0.465,1.007,0.62,0.232,0.697,0.31,0.387,0.155,1.007,0.775,12.985,15.829,15.11,14.25,14.564,13.937,1
Positive_21,1.207,0.632,0.326,0.728,0.249,0.881,0.613,1.303,0.172,0.881,1.437,1.36,0.364,0.594,0.632,0.919,0.728,0.019,0.345,1.226,13.724,15.441,13.863,13.498,14.747,14.111,1
Positive_22,2.241,0.249,1.494,0.249,0.747,0.498,0.249,0.996,0.747,1.743,5.728,0.0,2.49,0.747,0.498,1.992,1.245,0.0,0.996,1.494,14.07,12.422,12.874,12.398,12.227,11.605,1
Positive_23,1.8,1.329,0.171,0.729,0.3,0.857,0.257,1.329,0.257,0.171,1.758,0.129,0.171,0.472,0.729,0.6,0.514,0.086,0.214,0.814,14.408,14.192,13.843,15.125,14.732,15.011,1
Positive_24,1.158,0.515,0.257,0.515,0.0,1.03,0.257,1.287,1.03,0.257,0.772,1.416,0.386,0.901,0.386,0.515,0.257,0.515,0.515,0.644,15.465,14.771,14.797,13.97,12.999,15.383,1
Positive_25,1.093,0.964,0.579,1.157,0.386,0.643,0.514,0.836,0.129,0.257,1.221,0.707,0.321,0.643,0.321,0.771,0.579,0.386,0.514,0.9,15.073,13.018,14.647,14.362,14.976,15.002,1
Positive_26,2.167,0.681,0.743,0.619,0.248,0.681,0.805,1.92,0.124,0.867,1.61,0.681,0.372,0.557,0.805,0.743,0.805,0.0,0.186,1.548,14.707,14.796,12.962,13.915,13.616,13.842,1
Positive_27,1.078,1.232,0.616,0.924,0.308,0.154,0.308,0.924,0.154,0.77,1.695,1.078,0.462,0.462,1.078,0.77,0.154,0.308,0.616,0.308,13.59,14.354,12.953,14.34,15.788,15.573,1
Positive_28,0.835,0.749,0.578,0.728,0.278,1.156,0.449,1.113,0.364,1.156,1.284,1.027,0.278,0.621,0.813,0.878,0.92,0.064,0.278,1.263,13.618,15.191,14.464,13.611,14.145,14.137,1
Positive_29,1.248,0.792,0.552,0.72,0.264,0.792,0.552,1.176,0.408,0.864,1.512,0.792,0.36,0.6,0.84,0.576,0.792,0.12,0.552,0.984,13.821,14.357,14.046,14.256,14.437,14.589,1
Positive_30,1.952,0.705,0.434,0.813,0.054,0.596,0.542,1.518,0.271,1.084,1.464,0.488,0.542,0.379,0.705,0.867,0.705,0.217,0.325,0.922,14.278,14.847,14.001,13.243,14.213,14.833,1
Positive_31,1.303,0.501,0.601,0.351,0.401,0.902,0.451,0.952,0.301,1.253,2.104,1.102,0.351,0.701,0.401,1.002,0.952,0.2,0.601,1.102,14.218,15.414,12.898,12.657,14.536,14.746,1
Positive_32,0.759,0.285,0.379,0.285,0.095,0.949,0.0,2.751,0.0,1.138,1.802,0.19,0.949,0.759,0.379,0.949,0.379,0.474,1.043,2.941,13.469,13.609,12.965,13.98,15.441,14.03,1
Positive_33,1.278,0.858,0.365,0.548,0.183,0.876,0.949,0.986,0.639,0.475,1.826,0.493,0.31,0.694,0.84,1.077,0.42,0.256,0.438,0.931,13.706,14.681,13.944,14.002,14.175,15.049,1
Positive_34,0.719,0.959,0.24,0.879,0.639,1.278,0.559,0.639,0.479,0.4,1.199,1.278,0.16,0.639,1.119,0.479,0.639,0.32,0.4,0.719,15.255,15.495,13.447,14.038,13.379,14.643,1
Positive_35,0.0,0.854,0.213,0.427,0.0,1.174,0.534,0.64,0.64,0.747,1.067,1.494,0.64,0.64,1.388,0.534,0.534,0.427,0.64,1.067,12.911,16.149,15.185,14.181,13.683,14.229,1
Positive_36,1.489,0.447,0.496,0.794,0.05,0.993,0.347,0.993,0.397,0.794,1.291,1.539,0.447,0.844,0.546,1.191,1.191,0.05,0.298,1.39,13.935,16.211,13.647,12.727,14.317,13.576,1
Positive_37,0.997,0.681,0.705,0.73,0.316,0.949,0.584,1.07,0.341,0.803,1.314,1.022,0.438,0.73,0.56,0.9,0.851,0.219,0.462,0.778,13.945,14.104,13.504,14.097,15.441,14.458,1
Positive_38,1.586,0.783,0.622,0.843,0.221,0.963,0.983,1.124,0.542,0.662,1.887,0.522,0.602,0.261,0.702,0.843,0.963,0.14,0.341,1.084,13.708,14.899,13.771,13.559,14.139,14.249,1
Positive_39,0.886,0.96,0.702,0.406,0.259,1.145,0.997,0.702,0.443,0.517,1.588,1.182,0.148,0.48,1.108,1.219,0.628,0.148,0.443,0.923,14.179,14.939,14.142,13.971,13.576,14.306,1
Positive_40,1.952,0.569,0.488,0.732,0.244,1.22,0.325,1.464,0.244,0.813,1.464,1.301,0.407,0.244,0.732,0.732,0.651,0.0,0.244,1.545,12.303,14.701,15.554,13.671,14.309,14.094,1
Positive_41,0.799,0.945,0.618,0.981,0.073,0.799,0.436,0.799,0.581,0.763,1.199,0.836,0.545,0.472,0.872,0.908,0.472,0.182,0.836,1.09,15.201,14.967,13.091,13.596,14.952,13.986,1
Positive_42,0.986,0.762,0.358,1.12,0.179,0.986,0.448,0.896,0.358,0.583,1.255,0.762,0.403,0.717,0.583,0.717,0.851,0.224,0.717,0.627,14.613,15.182,13.118,14.593,14.309,14.654,1
Positive_43,0.624,0.561,0.561,0.561,0.125,0.873,0.561,0.935,0.25,0.873,1.559,0.748,0.125,0.686,0.811,1.185,0.561,0.374,0.748,1.185,14.27,14.548,14.305,13.95,15.042,13.978,1
Positive_44,1.0,0.93,0.819,0.764,0.444,1.138,0.583,1.014,0.417,0.597,1.847,0.583,0.222,0.639,1.027,1.499,0.555,0.319,0.347,0.694,13.679,14.158,13.594,14.011,14.374,14.744,1
Positive_45,1.608,0.489,0.699,1.049,0.21,1.188,0.489,0.35,0.769,0.979,1.468,1.188,0.28,0.629,0.559,1.258,0.629,0.14,0.559,0.699,14.446,13.989,14.476,13.684,12.99,15.177,1
Positive_46,1.084,0.91,0.455,0.77,0.28,1.154,0.805,0.875,0.455,0.91,1.469,0.42,0.385,0.63,1.05,0.84,0.7,0.175,0.315,0.84,13.582,14.293,14.039,14.351,14.017,15.2,1
Positive_47,0.942,0.837,0.555,0.576,0.24,0.997,0.425,1.153,0.286,0.909,1.321,0.896,0.539,0.425,0.61,0.82,1.144,0.379,0.294,0.905,14.012,14.254,14.304,14.219,14.432,14.525,1
Positive_48,0.619,0.773,0.309,0.928,0.155,1.005,0.541,1.005,0.271,0.812,1.083,0.735,0.348,0.735,1.469,1.315,0.619,0.348,0.464,0.58,13.979,14.755,14.297,13.605,14.84,14.41,1
Positive_49,0.643,0.161,1.849,0.241,0.161,1.608,0.482,0.643,0.241,1.367,1.367,1.849,0.241,0.723,0.08,0.723,0.884,0.241,1.045,0.563,14.054,14.394,14.371,13.51,14.507,14.054,1
Positive_50,1.524,0.905,0.524,0.809,0.048,0.619,0.381,0.857,0.238,0.619,1.857,0.381,0.667,0.619,1.047,0.809,0.619,0.381,0.333,0.857,14.333,15.052,13.931,14.96,14.072,13.558,1
Positive_51,1.248,1.048,0.499,0.799,0.0,0.948,0.799,0.699,0.699,0.799,1.248,0.449,0.1,0.649,1.048,0.649,0.849,0.299,0.449,0.849,13.815,14.839,15.453,14.041,13.504,14.224,1
Positive_52,0.674,0.385,1.637,0.915,0.241,0.963,0.385,1.059,0.241,1.204,1.397,1.108,0.433,0.819,0.482,0.867,1.108,0.144,0.722,1.059,14.274,14.148,13.561,14.678,13.601,13.894,1
Positive_53,0.775,0.704,0.634,0.704,0.423,0.423,0.211,1.831,0.352,0.493,1.197,1.127,0.282,0.775,0.775,1.549,0.775,0.141,0.211,1.197,15.057,15.363,14.117,13.279,14.19,13.417,1
Positive_54,0.59,0.431,1.372,0.998,0.113,0.794,0.488,0.714,0.159,1.52,1.293,1.213,0.283,0.635,0.601,1.123,0.828,0.147,0.896,0.714,14.018,14.466,14.13,13.974,14.339,14.16,1
Positive_55,1.459,0.819,0.486,1.255,0.102,0.691,0.333,1.306,0.282,0.666,1.28,0.23,0.282,0.538,0.871,0.999,0.947,0.333,0.435,1.383,13.859,14.491,14.124,13.779,15.146,13.904,1
Positive_56,1.031,0.883,0.629,0.857,0.214,0.83,0.776,0.95,0.455,0.522,1.285,0.268,0.321,0.509,0.83,0.803,0.75,0.522,0.415,0.857,14.446,14.433,14.563,14.172,14.693,13.987,1
Positive_57,0.735,0.306,1.041,0.674,0.122,0.98,0.429,1.409,0.429,0.919,1.838,1.593,0.184,0.306,0.306,0.98,1.286,0.245,0.306,1.654,14.02,15.248,13.572,13.383,13.296,14.737,1
Positive_58,1.592,0.702,0.796,1.124,0.094,1.03,0.422,0.749,0.047,0.656,1.545,1.358,0.281,0.422,0.562,0.656,1.077,0.187,0.281,0.796,13.55,14.456,14.485,13.601,14.55,14.981,1
Positive_59,2.077,0.89,0.247,1.385,0.198,0.594,0.89,1.138,0.346,0.742,1.929,0.643,0.346,0.396,0.594,0.791,0.594,0.0,0.297,0.692,13.947,14.886,13.355,12.993,15.13,14.901,1
Positive_60,1.397,0.466,0.732,0.698,0.067,1.33,0.333,1.23,0.166,1.197,0.964,1.064,0.233,0.499,0.565,0.632,0.765,0.199,0.499,1.031,14.537,15.697,13.602,13.292,14.038,14.769,1
Positive_61,1.084,0.737,0.781,0.867,0.173,0.737,0.607,1.388,0.26,1.301,1.561,0.911,0.303,0.477,0.824,0.52,0.694,0.0,0.434,0.911,14.023,14.657,13.87,14.191,14.271,14.417,1
Positive_62,1.928,0.815,0.624,0.896,0.054,0.679,0.869,1.168,0.299,0.76,1.412,0.516,0.462,0.489,0.787,0.896,0.516,0.163,0.353,1.493,14.481,14.61,13.714,13.722,14.413,13.881,1
Positive_63,1.467,0.829,0.255,0.765,0.128,1.148,0.446,1.276,0.319,0.957,1.403,0.765,0.255,0.765,0.383,0.574,0.574,0.0,0.51,0.765,13.735,14.332,14.366,13.361,15.501,15.12,1
Positive_64,1.743,0.999,0.465,0.651,0.163,0.999,1.046,0.743,0.395,0.883,1.626,0.511,0.163,0.302,1.069,0.674,0.558,0.163,0.256,0.883,14.326,14.561,14.568,14.033,13.797,14.426,1
Positive_65,1.692,0.945,0.647,1.144,0.05,0.672,0.597,1.269,0.299,0.821,1.045,0.448,0.249,0.373,1.119,0.995,1.144,0.075,0.323,1.667,14.451,13.86,13.867,14.615,13.743,13.891,1
Positive_66,1.077,1.142,0.228,0.718,0.424,1.142,1.175,1.175,0.228,0.587,1.24,0.783,0.326,0.587,1.175,1.338,0.555,0.131,0.228,0.751,13.952,14.958,13.922,14.335,13.209,14.613,1
Positive_67,1.078,0.616,0.154,1.181,0.0,1.181,0.975,1.232,0.205,0.616,1.386,1.232,0.308,0.513,0.462,0.77,0.821,0.154,0.411,0.667,14.089,14.801,14.62,12.93,14.871,14.725,1
Positive_68,1.75,0.625,0.583,0.583,0.333,1.0,0.708,1.25,0.375,0.833,1.416,1.083,0.167,0.333,0.792,0.833,0.917,0.125,0.542,0.917,13.094,14.671,14.103,14.141,14.482,14.345,1
Positive_69,1.312,0.572,0.673,0.875,0.336,0.908,0.437,1.245,0.37,1.077,1.278,0.976,0.538,0.37,0.538,0.471,0.808,0.202,0.505,1.043,14.884,14.353,13.844,13.975,14.055,14.353,1
Positive_70,0.651,0.728,0.574,0.881,0.459,0.919,0.689,1.244,0.345,0.728,1.11,1.015,0.23,0.402,0.785,1.072,0.823,0.249,0.632,1.091,13.844,14.056,13.844,14.838,14.092,14.699,1
Positive_71,0.976,0.481,0.524,0.903,0.204,1.092,0.495,1.034,0.277,0.699,1.311,1.835,0.364,0.437,0.641,1.238,0.612,0.189,0.466,0.99,14.689,14.644,13.743,13.515,14.504,14.135,1
Positive_72,2.393,0.903,0.452,1.039,0.181,0.587,0.452,1.626,0.181,0.903,1.039,0.316,0.452,0.542,0.768,0.813,0.993,0.136,0.271,1.084,14.085,14.1,13.865,14.766,14.206,13.85,1
Positive_73,0.961,0.804,0.742,0.888,0.366,0.909,0.595,0.909,0.501,0.773,1.755,0.836,0.303,0.533,0.679,1.107,0.689,0.146,0.397,1.045,13.983,14.677,14.125,13.535,14.214,14.528,1
Positive_74,0.627,0.209,0.836,0.941,0.314,1.986,0.209,1.463,0.0,1.568,0.836,1.045,0.523,0.523,0.314,0.836,0.523,0.314,0.314,1.045,14.538,15.375,14.127,12.973,13.283,15.281,1
Positive_75,1.645,0.595,0.611,0.736,0.031,0.783,0.752,1.394,0.172,1.128,1.598,0.674,0.658,0.846,0.705,0.971,1.05,0.141,0.423,1.52,14.289,13.911,13.887,13.369,13.665,14.445,1
Positive_76,1.395,0.418,0.697,0.558,0.209,1.116,0.558,0.628,0.279,0.976,1.674,1.255,0.418,0.697,0.767,0.418,0.767,0.209,0.697,0.837,14.839,15.371,13.082,12.878,15.064,14.19,1
Positive_77,1.903,0.701,0.868,0.634,0.234,1.102,0.601,1.135,0.501,0.735,1.736,0.801,0.601,0.367,0.634,0.935,0.835,0.167,0.134,0.968,13.987,14.853,13.66,13.839,14.159,13.909,1
Positive_78,1.074,1.002,0.465,0.895,0.0,1.181,0.465,1.36,0.286,0.895,0.966,0.859,0.43,0.286,0.537,0.608,0.787,0.107,0.394,1.288,14.387,14.984,14.192,13.505,13.984,15.06,1
Positive_79,1.663,1.093,0.501,0.888,0.046,0.501,0.706,1.526,0.228,0.615,0.98,0.182,0.137,0.387,1.093,1.162,1.298,0.228,0.501,1.002,14.355,13.913,14.716,14.097,14.643,13.537,1
Positive_80,0.54,0.78,0.54,0.9,0.06,1.08,0.18,0.72,0.18,0.78,1.38,1.14,0.18,0.84,0.72,0.6,0.84,0.12,0.48,1.14,13.688,13.906,13.959,14.731,14.889,15.628,1
Positive_81,0.469,0.352,0.703,0.586,0.0,1.289,0.82,1.523,0.352,0.703,0.586,1.406,0.703,0.937,0.117,1.055,1.406,0.117,0.469,1.406,14.721,15.373,13.596,13.063,14.856,13.393,1
Positive_82,1.432,0.758,0.59,0.716,0.042,0.716,0.463,1.011,0.295,0.505,1.516,0.884,0.295,0.674,1.179,0.674,0.632,0.337,0.548,0.8,14.441,14.66,14.019,15.539,14.35,12.922,1
Positive_83,1.125,0.765,0.594,0.812,0.094,1.109,0.64,1.234,0.359,0.89,1.094,0.75,0.344,0.531,0.562,0.672,0.656,0.172,0.656,0.797,14.474,14.467,14.148,13.76,14.876,14.418,1
Positive_84,1.269,0.254,0.914,0.66,0.152,1.218,0.558,1.37,0.254,1.269,1.624,1.117,0.457,1.015,0.863,0.812,0.812,0.0,0.558,0.609,14.474,14.419,13.44,13.385,14.119,14.379,1
Positive_85,0.951,0.657,0.578,0.608,0.196,1.058,0.931,1.049,0.265,1.0,1.078,1.235,0.294,0.343,0.774,0.617,0.882,0.363,0.382,0.921,14.073,14.874,13.945,13.754,14.42,14.754,1
Positive_86,2.335,1.066,0.305,1.066,0.051,0.558,0.355,1.523,0.305,0.558,1.37,0.254,0.254,0.152,0.812,0.66,0.508,0.254,0.152,1.878,15.25,14.198,13.996,14.559,13.78,13.802,1
Positive_87,1.932,1.196,0.184,0.92,0.138,0.644,0.23,1.288,0.322,0.414,1.196,0.184,0.322,0.368,0.506,0.552,1.104,0.184,0.138,1.564,14.131,16.112,13.555,14.017,13.736,15.061,1
Positive_88,0.652,0.794,0.908,0.794,0.34,0.851,0.737,1.191,0.255,0.454,1.021,1.021,0.511,0.34,0.652,0.964,0.652,0.397,0.596,0.794,13.642,14.373,13.976,14.499,14.652,14.93,1
Positive_89,1.084,0.563,0.823,0.65,0.347,1.257,0.563,1.387,0.303,0.39,0.78,0.91,0.65,0.693,0.52,0.997,0.607,0.39,0.693,0.823,14.1,14.454,14.151,14.194,13.862,14.807,1
Positive_90,1.55,0.833,0.37,0.717,0.22,0.914,0.694,4.698,0.093,0.393,0.648,0.775,0.185,0.289,3.124,0.555,0.509,0.081,0.116,0.44,15.244,15.279,10.169,16.001,15.158,10.943,1
Positive_91,0.926,0.514,0.72,1.183,0.771,1.748,0.514,0.72,0.617,0.617,1.491,1.028,0.257,0.72,0.926,0.36,0.874,0.206,0.36,1.028,14.193,14.287,13.594,14.427,13.539,14.38,1
Positive_92,1.161,0.751,0.853,0.649,0.137,0.922,0.512,0.922,0.307,0.649,1.263,0.717,0.205,0.785,0.819,0.922,0.751,0.307,0.41,1.058,14.255,14.488,14.044,14.446,14.679,13.988,1
Positive_93,1.457,1.08,0.459,0.783,0.216,0.756,0.567,0.999,0.351,0.567,1.511,0.594,0.297,0.567,0.648,0.81,0.648,0.108,0.432,0.756,14.793,15.092,13.099,14.745,14.555,14.113,1
Positive_94,1.063,0.841,0.666,0.857,0.206,0.968,0.444,0.777,0.381,0.777,1.317,0.888,0.333,0.666,0.635,0.571,0.571,0.19,0.523,1.047,14.367,15.293,13.907,14.003,14.292,14.415,1
Positive_95,1.178,0.5,0.785,0.857,0.143,0.857,0.892,0.5,0.357,0.643,2.284,1.035,0.5,0.857,1.142,1.82,1.963,0.107,0.25,1.178,14.626,13.421,13.511,13.18,12.931,14.483,1
Positive_96,1.35,0.441,0.413,1.185,0.193,1.543,0.358,0.799,0.303,0.634,1.267,1.295,0.138,0.909,0.579,0.634,0.634,0.138,0.331,0.854,14.143,15.094,13.401,14.626,14.185,14.556,1
Positive_97,0.922,0.868,0.434,0.759,0.217,1.084,0.38,1.139,0.271,0.217,1.464,1.139,0.217,0.759,0.325,0.922,0.38,0.108,0.271,1.247,14.853,14.531,14.544,13.823,14.59,14.538,1
Positive_98,0.252,1.262,0.0,0.0,0.252,0.757,0.252,2.019,0.252,0.252,1.514,0.0,0.252,0.0,1.009,0.757,1.009,1.009,0.0,0.252,14.04,13.907,16.255,16.116,14.19,14.39,1
Positive_99,0.347,0.694,0.954,2.342,0.434,1.128,0.26,0.607,0.26,0.347,0.954,1.041,0.52,0.781,0.434,1.301,0.26,0.434,0.173,0.607,13.933,13.586,11.948,16.119,14.876,15.661,1
Positive_100,1.273,1.464,0.573,1.146,0.509,0.573,0.382,0.764,0.255,0.509,1.337,0.827,0.255,0.446,0.764,0.827,0.446,0.064,0.318,0.7,12.871,15.08,14.69,14.167,14.845,14.919,1
Positive_101,0.956,1.314,0.299,0.956,0.119,1.016,0.179,0.657,0.299,0.777,1.135,0.657,0.358,0.597,0.478,0.717,0.657,0.0,0.777,1.254,14.582,15.11,15.334,13.334,15.229,13.209,1
Positive_102,2.147,0.822,0.639,0.731,0.183,0.822,1.051,1.233,0.411,0.822,1.827,0.548,0.32,0.639,0.822,0.913,0.731,0.0,0.274,0.822,14.756,13.937,13.645,13.992,13.425,14.488,1
Positive_103,1.207,0.676,0.338,0.821,0.048,0.869,0.869,1.352,0.241,0.821,1.932,0.628,0.193,0.386,0.724,0.773,0.628,0.145,0.821,0.676,13.597,14.56,14.984,14.708,14.581,13.421,1
Positive_104,0.451,0.984,0.369,0.861,0.0,0.984,0.205,1.024,0.164,0.738,0.984,0.984,0.287,0.82,0.369,0.615,0.287,0.0,0.492,1.393,14.757,15.112,13.665,14.848,14.205,15.406,1
Positive_105,1.178,0.634,0.755,1.117,0.091,0.876,0.362,1.027,0.423,0.846,1.117,0.695,0.302,0.815,0.966,0.966,0.725,0.151,0.725,0.664,14.145,14.261,14.275,14.708,13.316,14.86,1
Positive_106,1.178,0.634,0.755,1.117,0.091,0.876,0.362,1.027,0.423,0.846,1.117,0.695,0.302,0.815,0.966,0.966,0.725,0.151,0.725,0.664,14.145,14.261,14.275,14.708,13.316,14.86,1
Positive_107,1.076,0.557,1.002,0.835,0.26,1.058,0.575,0.983,0.241,1.132,1.076,1.206,0.223,0.705,0.575,1.039,0.594,0.111,0.538,0.817,14.042,15.546,13.487,13.75,14.509,14.064,1
Positive_108,1.601,1.237,0.073,1.019,0.146,0.437,0.509,1.165,0.655,0.582,1.237,0.0,0.364,0.218,0.437,0.655,0.946,0.509,0.291,1.092,15.248,14.695,14.807,13.72,14.162,14.194,1
Positive_109,1.82,0.531,0.455,0.986,0.0,0.834,0.531,1.062,0.228,1.138,1.441,0.834,0.228,0.607,0.758,1.138,0.834,0.076,0.531,1.213,13.826,14.405,15.297,13.155,14.474,13.598,1
Positive_110,2.185,1.161,0.205,0.956,0.137,0.615,0.546,1.263,0.205,0.478,1.571,0.273,0.171,0.307,0.751,0.546,0.819,0.137,0.273,1.332,14.612,13.881,14.166,14.361,14.577,14.473,1
Positive_111,1.455,0.686,0.878,0.769,0.137,0.796,0.412,1.345,0.302,0.769,1.016,0.549,0.329,0.576,1.318,0.659,1.373,0.522,0.467,1.043,15.016,13.738,14.238,13.761,13.576,14.269,1
Positive_112,0.941,0.292,1.006,1.201,0.0,0.649,0.779,1.136,0.292,0.746,1.038,1.428,0.324,0.779,0.389,1.266,1.298,0.162,0.811,0.811,14.037,14.843,13.515,14.213,14.014,14.029,1
Positive_113,0.879,0.549,0.659,0.696,0.183,1.392,0.22,1.099,0.293,0.623,1.648,1.209,0.22,0.806,0.623,0.623,0.44,0.11,0.696,0.769,14.786,15.267,14.422,13.934,14.374,13.481,1
Positive_114,1.7,0.479,0.61,0.828,0.044,0.654,0.523,1.569,0.654,0.523,1.351,0.959,0.523,0.523,1.133,0.392,1.351,0.262,0.479,1.133,14.152,13.705,13.125,14.568,14.419,14.341,1
Positive_115,1.859,0.999,0.333,1.054,0.056,0.61,0.333,1.193,0.499,0.305,1.249,0.222,0.111,0.416,0.916,0.61,0.832,0.388,0.527,0.777,14.919,14.633,14.567,13.902,14.673,14.015,1
Positive_116,1.207,0.827,0.827,1.05,0.134,0.581,0.804,0.961,0.424,0.737,1.452,0.38,0.358,0.715,0.67,0.737,0.648,0.335,0.626,0.737,14.019,14.459,14.218,14.843,13.777,14.473,1
Positive_117,0.687,0.229,0.458,0.916,0.687,1.145,0.0,1.374,0.458,0.458,1.832,1.832,0.687,0.229,0.458,1.145,1.145,0.0,0.458,1.374,14.688,13.925,15.832,11.271,15.062,13.653,1
Positive_118,1.303,0.628,0.917,0.724,0.193,0.917,1.062,0.917,0.0,1.014,1.448,0.628,0.483,0.821,1.014,0.579,1.11,0.241,0.338,0.966,14.432,14.8,13.866,13.583,14.233,13.782,1
Positive_119,1.541,0.742,0.942,1.056,0.0,0.599,0.685,1.455,0.228,0.485,1.141,0.713,0.342,0.685,0.285,1.17,0.913,0.314,0.571,0.542,14.67,14.028,14.734,13.747,14.1,14.309,1
Positive_120,0.739,0.924,1.042,0.504,0.353,0.807,0.622,0.975,0.202,1.059,1.411,0.756,0.387,0.47,0.504,0.773,1.008,0.47,0.37,0.941,14.059,14.252,14.102,14.03,14.503,14.739,1
Positive_121,1.358,0.594,0.424,0.764,0.0,1.019,1.019,0.934,0.679,1.019,1.528,0.679,0.509,1.019,0.594,1.273,0.764,0.17,0.34,0.679,14.574,15.135,13.184,14.206,14.275,13.261,1
